localidad,pollutant,year,cluster,total_population,children_0_9,older_adults_60_plus,avg_IPM,sector_count
TEUSAQUILLO,NO2,2021,LL,57349,3983,12151,0.043364913517685705,13
TEUSAQUILLO,NO2,2021,NS,22460,1389,5739,0.0227609230556237,7
TEUSAQUILLO,NO2,2022,LL,9695,626,2075,0.043103600103600065,3
TEUSAQUILLO,NO2,2022,NS,70114,4746,15815,0.0349270315769694,17
TEUSAQUILLO,NO2,2023,LL,9695,626,2075,0.043103600103600065,3
TEUSAQUILLO,NO2,2023,NS,70114,4746,15815,0.0349270315769694,17
TEUSAQUILLO,NO2,2024,LL,9695,626,2075,0.043103600103600065,3
TEUSAQUILLO,NO2,2024,NS,70114,4746,15815,0.0349270315769694,17
TEUSAQUILLO,O3,2010,HH,19222,1379,4368,0.029310435924229,5
TEUSAQUILLO,O3,2010,NS,60587,3993,13522,0.038434543833209,15
TEUSAQUILLO,O3,2011,NS,79809,5372,17890,0.036153516855964005,20
TEUSAQUILLO,O3,2012,HH,67969,4682,15258,0.03487928208819209,16
TEUSAQUILLO,O3,2012,NS,11840,690,2632,0.04125045592705165,4
TEUSAQUILLO,O3,2013,LL,15339,1072,3090,0.05965045592705165,4
TEUSAQUILLO,O3,2013,NS,64470,4300,14800,0.030279282088192087,16
TEUSAQUILLO,O3,2014,HH,19222,1379,4368,0.024425363270190834,6
TEUSAQUILLO,O3,2014,NS,60587,3993,13522,0.04117986839272393,14
TEUSAQUILLO,O3,2015,HH,0,0,0,0.0,1
TEUSAQUILLO,O3,2015,LL,36181,2304,7468,0.035004205550546987,9
TEUSAQUILLO,O3,2015,NS,43628,3068,10422,0.04080324871643572,10
TEUSAQUILLO,O3,2016,HH,9823,646,2818,0.004444444444444433,3
TEUSAQUILLO,O3,2016,LL,15746,1068,3039,0.03166416510318947,3
TEUSAQUILLO,O3,2016,NS,54240,3658,12033,0.04391032203402702,14
TEUSAQUILLO,O3,2017,HH,25330,1591,5128,0.035470177789689965,6
TEUSAQUILLO,O3,2017,NS,54479,3781,12762,0.03644637645579573,14
TEUSAQUILLO,O3,2018,NS,79809,5372,17890,0.036153516855964005,20
TEUSAQUILLO,O3,2019,HH,57349,3983,12151,0.043364913517685705,13
TEUSAQUILLO,O3,2019,NS,22460,1389,5739,0.0227609230556237,7
TEUSAQUILLO,O3,2020,HH,67969,4682,15258,0.03487928208819209,16
TEUSAQUILLO,O3,2020,NS,11840,690,2632,0.04125045592705165,4
TEUSAQUILLO,O3,2021,LL,2434,146,558,0.0428571428571428,1
TEUSAQUILLO,O3,2021,NS,77375,5226,17332,0.035800694434849324,19
TEUSAQUILLO,O3,2022,HH,8332,531,1777,0.022918414918414898,3
TEUSAQUILLO,O3,2022,NS,71477,4841,16113,0.03848912308023737,17
TEUSAQUILLO,O3,2023,HH,67870,4680,15239,0.035204567560738226,15
TEUSAQUILLO,O3,2023,NS,11939,692,2651,0.03900036474164132,5
TEUSAQUILLO,O3,2024,HH,54497,3770,12659,0.03612419074153588,13
TEUSAQUILLO,O3,2024,NS,25312,1602,5231,0.036207979639901924,7
TEUSAQUILLO,PM10,2010,LL,67870,4680,15239,0.035204567560738226,15
TEUSAQUILLO,PM10,2010,NS,11939,692,2651,0.03900036474164132,5
TEUSAQUILLO,PM10,2011,LL,69630,4773,15706,0.03612928208819209,16
TEUSAQUILLO,PM10,2011,NS,10179,599,2184,0.03625045592705165,4
TEUSAQUILLO,PM10,2012,LL,36025,2559,8842,0.03786923998318299,9
TEUSAQUILLO,PM10,2012,NS,43784,2813,9048,0.03474974338823938,11
TEUSAQUILLO,PM10,2013,LL,34567,2527,8481,0.034859388487574375,8
TEUSAQUILLO,PM10,2013,NS,45242,2845,9409,0.03701626910155708,12
TEUSAQUILLO,PM10,2014,LL,63030,4385,13980,0.03433408636166053,14
TEUSAQUILLO,PM10,2014,NS,16779,987,3910,0.04039885467600544,6
TEUSAQUILLO,PM10,2015,LL,42796,3059,10318,0.037082039529315866,9
TEUSAQUILLO,PM10,2015,NS,37013,2313,7572,0.03539381648685793,11
TEUSAQUILLO,PM10,2016,LL,48281,3280,11445,0.03601022807277678,10
